trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
30,0,30,0,52.31449341599955,,52.29221170799974,10,52.31449341599955,52.31449341599955,0.015136583000185055,54.26440058299977,[0.023333333333333334],[0.43333333333333335],[1],[0],[0],[1.957357457999933],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
31,0,31,0,54.28874374999987,,54.26659295799982,10,54.28874374999987,54.28874374999987,0.015057542000249668,55.88966599999958,[0.21666666666666667],[-0.14666666666666667],[1],[0],[0],[1.6083307500002775],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
32,0,32,0,55.914032874999975,,55.89188104099958,10,55.914032874999975,55.914032874999975,0.014774042000226473,58.27301199999965,[-0.3383333333333333],[-0.30666666666666664],[1],[0],[0],[2.3667298749996917],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
33,0,33,0,58.29754033299969,,58.275183707999986,10,58.29754033299969,58.29754033299969,0.014862250000078348,59.83117691599955,[0.16833333333333333],[0.08],[1],[0],[0],[1.5414658750000854],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
34,0,34,0,59.85505224999997,,59.83338712499972,10,59.85505224999997,59.85505224999997,0.014819582999734848,61.99836658299955,[-0.47],[0.24833333333333332],[1],[0],[0],[2.150437916000101],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
35,0,35,0,62.013704957999835,,62.00061399999959,5,62.013704957999835,62.013704957999835,0.00809954199985441,63.89685979099977,[-0.15],[-0.09833333333333333],[1],[0],[0],[1.8884764159997758],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
36,0,36,0,63.91214808299992,,63.89918958299995,5,63.91214808299992,63.91214808299992,0.008124667000174668,67.14672116599968,[0.22833333333333333],[-0.25166666666666665],[1],[0],[0],[3.2397354580002684],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
37,0,37,0,67.16221308299964,,67.1490746659997,5,67.16221308299964,67.16221308299964,0.008179124999969645,69.30679908299999,[0.07166666666666667],[0.20833333333333334],[1],[0],[0],[2.1498742080002557],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
38,0,38,0,69.32226537499992,,69.30917587499971,5,69.32226537499992,69.32226537499992,0.00803387499991004,70.59042195799975,[0.285],[-0.06666666666666667],[1],[0],[0],[1.2735849999999118],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
39,0,39,0,70.60557449999988,,70.59276829099963,5,70.60557449999988,70.60557449999988,0.008059750000029453,72.32404058299971,[-0.36833333333333335],[0.29833333333333334],[1],[0],[0],[1.7235839170002691],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
40,0,40,0,72.34826362499962,,72.32632087499996,10,72.34826362499962,72.34826362499962,0.014837291999810986,74.00700120799956,[0.4083333333333333],[0.44166666666666665],[1],[0],[0],[1.666283416999704],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
41,0,41,0,74.02202179099959,,74.00919154099984,5,74.02202179099959,74.02202179099959,0.00796216699973229,75.49661745799995,[-0.37666666666666665],[0.41833333333333333],[1],[0],[0],[1.4797592500003702],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
42,0,42,0,75.51192624999976,,75.49891304099992,5,75.51192624999976,75.51192624999976,0.008072084000104951,76.74005999999963,[0.275],[0.35833333333333334],[1],[0],[0],[1.2334147500000654],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
43,0,43,0,76.75571083299974,,76.74234812499981,5,76.75571083299974,76.75571083299974,0.008237917000315065,78.18995495799982,[0.4083333333333333],[0.4083333333333333],[1],[0],[0],[1.4397112920000836],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
44,0,44,0,78.21440229099971,,78.19226245799973,10,78.21440229099971,78.21440229099971,0.014995874999840453,80.347805333,[-0.30333333333333334],[-0.24166666666666667],[1],[0],[0],[2.1408769170002415],['target'],505680,001,2024-10-10_22h20.31.848,visual search task ,2024.1.5,None,2024-10-10 22h20.37.669562 +0530,
